id,createdAt,custom.reachedStr,custom.interviewedById,custom.cleanerInterviewScoreNum
6634e161a7cf6dae8880d349,2024-05-03,Reached,65b7a9b08b0f06ad612a6bae,7
6634f17fefbbed11d15104d1,2024-05-03,Attempt #2,64d12920cae98620ad4e3b20, 
6634fb0bed279acfd182ea2e,2024-05-03,Reached,64d12920cae98620ad4e3b20,10
6634f39ed314f6d3cb04169c,2024-05-03,Reached,64d12920cae98620ad4e3b20,7
6634fd21cb690b126d047f76,2024-05-03,Reached,64d12920cae98620ad4e3b20,10
6635019960b72b205e480d37,2024-05-03,Reached,64d12920cae98620ad4e3b20, 
6635048cf14f2811eea1f4f0,2024-05-03,Reached,64d12920cae98620ad4e3b20, 
66350616d7513e564d174f07,2024-05-03,Reached,64d12920cae98620ad4e3b20,8
6634fed95aaeee040bade67e,2024-05-03,Reached,64d12920cae98620ad4e3b20,10
66350d3b0f062b1972277bdb,2024-05-03,Attempt #1,64d12920cae98620ad4e3b20, 
66351a92779abd21d0a4ed3f,2024-05-03,Reached,65b7a9b08b0f06ad612a6bae,7
6635175ded8503e5e29b9905,2024-05-03,Reached,64d12920cae98620ad4e3b20, 
6630fffaecd3c409f0a0d330,2024-04-30,Reached,65b7a9b08b0f06ad612a6bae,5
6635208c30cfa6f4248655fe,2024-05-03,Reached,65b7a9b08b0f06ad612a6bae,10
66352349e1fe4c3f5318b561,2024-05-03,Reached,65b7a9b08b0f06ad612a6bae,10
662a761cae2263044f29ec05,2024-04-25,Attempt #1,64d12920cae98620ad4e3b20, 
662a8d31f872d22f170f75a1,2024-04-25,Attempt #1, , 
662a8fbe5d3162f38b855ff2,2024-04-25,Reached,65b7a9b08b0f06ad612a6bae,7
662a9746935872b53ecc4068,2024-04-25,Attempt #1,65b7a9b08b0f06ad612a6bae, 
662a93a474502ae45110a7c5,2024-04-25,Attempt #1,65b7a9b08b0f06ad612a6bae, 
6626839442a33f9b3189d1d0,2024-04-22,Reached,64d12920cae98620ad4e3b20,8
662ba6b8d1a2c16e9b05fe11,2024-04-26,Attempt #1,64d12920cae98620ad4e3b20, 
662baab10864197616d244bf,2024-04-26,Rejected - Out of Country,64d12920cae98620ad4e3b20, 
66267517a9941a1d15350452,2024-04-22,Attempt #1,64d12920cae98620ad4e3b20, 
6627c32fd510fdf11e26b3a6,2024-04-23,Attempt #2,64d12920cae98620ad4e3b20, 
66290ccbd99c6ce234c0207b,2024-04-24,Attempt #2,64d12920cae98620ad4e3b20, 
66291bf129147fd1e9b797bf,2024-04-24,Reached,64d12920cae98620ad4e3b20,8
662912e9d5be5350659bf7e4,2024-04-24,Reached,64d12920cae98620ad4e3b20,10
6627e3cd312efd1798367a45,2024-04-23,Reached,64d12920cae98620ad4e3b20,8
66292752d95f6768f675af41,2024-04-24,Reached,64d12920cae98620ad4e3b20,10
662943e343773065ac036f89,2024-04-24,Reached,65b7a9b08b0f06ad612a6bae,10
6627d806721a18121cace6bf,2024-04-23,Reached,64d12920cae98620ad4e3b20,9
662a69587710eb3093506493,2024-04-25,Reached,64d12920cae98620ad4e3b20,9
662a5f64bcbfad8f343b3896,2024-04-25,Reached,64d12920cae98620ad4e3b20,10
662bbcd5e47765cb297c0c49,2024-04-26,Reached,64d12920cae98620ad4e3b20,8
662a6bb07710eb17ca50e5be,2024-04-25,Reached,64d12920cae98620ad4e3b20,10
662baf09e13a0a561ec5fa59,2024-04-26,Reached,64d12920cae98620ad4e3b20,10
662a8be899f87dcac662449c,2024-04-25,Reached,64d12920cae98620ad4e3b20,6
662a866da001201c1e16dcd3,2024-04-25,Reached,64d12920cae98620ad4e3b20,6
662a83c682c6f105f67239a2,2024-04-25,Reached,64d12920cae98620ad4e3b20,8
662a80ee3e5af3cf9c19f820,2024-04-25,Reached,64d12920cae98620ad4e3b20,10
662a7787fe944fe4cc1bb25b,2024-04-25,Reached,64d12920cae98620ad4e3b20,9
662be967566fed85948fb742,2024-04-26,Reached,65b7a9b08b0f06ad612a6bae,9
662be9e6e47765518a86638f,2024-04-26, ,65b7a9b08b0f06ad612a6bae, 
6627dc312ad0c4fef3f4e324,2024-04-23,Reached,64d12920cae98620ad4e3b20,9
66228006b36ef46da49b517f,2024-04-19,Reached,64d12920cae98620ad4e3b20,10
6627c9a4c22f616a6431cb9c,2024-04-23,Reached,64d12920cae98620ad4e3b20,10
662bc6a24fa28a982030e53e,2024-04-26,Attempt #1,64d12920cae98620ad4e3b20, 
662bde662f02a2614787f8bb,2024-04-26,Attempt #1,65b7a9b08b0f06ad612a6bae, 
662bd5fbc7281a441d2a8b3c,2024-04-26,Reached,64d12920cae98620ad4e3b20,10
66291431f03982803eaa7e29,2024-04-24,Rejected - Out of Country,64d12920cae98620ad4e3b20, 
66293124ccf6ec18fcfa4a85,2024-04-24,Reached,65b7a9b08b0f06ad612a6bae,7
662f9cefcf400678f1d49859,2024-04-29,Reached,65b7a9b08b0f06ad612a6bae,6
6627cc4dc03958f7867d5b51,2024-04-23,Reached,64d12920cae98620ad4e3b20,10
66267f30481b76757e9ad935,2024-04-22,Reached,64d12920cae98620ad4e3b20,9
663b9cb3a67d7957d41be673,2024-05-08,Reached,6634dbdc12c81f80a1c859a9,10
663baa31c055953fd936640c,2024-05-08,Reached,6634dbdc12c81f80a1c859a9, 
663b7e1a9bbba65ebc1dead6,2024-05-08,Reached,64d12920cae98620ad4e3b20, 
663a35cff4ba6f275a81af1f,2024-05-07,Attempt #1,64d12920cae98620ad4e3b20, 
663a6ba2bbb6ff2dc8b54a1d,2024-05-07,Reached,65b7a9b08b0f06ad612a6bae,7
663a68f80047b34109d21500,2024-05-07,Reached,65b7a9b08b0f06ad612a6bae,5
663b8a84872a5e51e66ad5de,2024-05-08,Reached,64d12920cae98620ad4e3b20, 
663b929bc3ff4b3d31a2d452,2024-05-08,Reached,6634dbdc12c81f80a1c859a9, 
663b8d74d357dd5e95c46bd5,2024-05-08,Reached,64d12920cae98620ad4e3b20,10
6638f333d00092a356d54648,2024-05-06,Reached,65b7a9b08b0f06ad612a6bae,9
663a2a0ef4ba6fa0417fcda9,2024-05-07,Attempt #1,64d12920cae98620ad4e3b20, 
6638e5af2842366bac063c1a,2024-05-06,Reached,65b7a9b08b0f06ad612a6bae,7
6638d8b9c44a89c6f10c7d74,2024-05-06,Reached,65b7a9b08b0f06ad612a6bae,8
662fc578a82b15cbcec6d512,2024-04-29,Reached,64d12920cae98620ad4e3b20,10
663cec23cbb9fd597ac0df51,2024-05-09,Attempt #1,6634dbdc12c81f80a1c859a9, 
663d1d6a931b32e707ba7b17,2024-05-09,Reached,6634dbdc12c81f80a1c859a9,4
663e264c9ea3051caa61c536,2024-05-10,Reached,64d12920cae98620ad4e3b20,7
6627cec28d0cbd41bbe582b8,2024-04-23,Reached,64d12920cae98620ad4e3b20,10
663e49135732ee6964463147,2024-05-10,Reached,6634dbdc12c81f80a1c859a9, 
663e646cdacec83245e1639d,2024-05-10,Reached,6634dbdc12c81f80a1c859a9, 
66423f406fd1ab0af77f75cd,2024-05-13,Reached,6634dbdc12c81f80a1c859a9, 
